Item,ds,Predicted Profit
"6 IN 1 ""Hexaxim"" Vaccine",2024-11-30,"$141,866.51"
Laser Circumcision,2024-01-31,"$103,987.09"
Laser Circumcision,2024-02-29,"$108,992.60"
Laser Circumcision,2024-03-31,"$114,343.32"
Laser Circumcision,2024-04-30,"$119,521.43"
Laser Circumcision,2024-05-31,"$124,872.15"
Laser Circumcision,2024-06-30,"$130,050.27"
Laser Circumcision,2024-07-31,"$135,400.99"
Laser Circumcision,2024-08-31,"$140,751.71"
Laser Circumcision,2024-09-30,"$145,929.82"
Laser Circumcision,2024-10-31,"$151,280.54"
Laser Circumcision,2024-11-30,"$156,458.66"
