Month,Category,Item,Option,Quantity,Price Per Unit,Total Profit
January,Surgeon,Surgery Procedure (3500),N/A,1.00,2500.00,2500.00
January,Ultrasound,Obstetrics and Gynecology,CERVICAL LENGTH,3.00,700.00,2100.00
January,Laboratory,Clinical Chemistry,Creatinine,7.00,284.57,1992.00
January,Others,Admin Fee,N/A,8.00,243.75,1950.00
January,Medicines,Medicine,Trufit,77.00,25.00,1925.00
January,Medicines,Medicine,Folic Acid (Folitrene),121.00,15.00,1815.00
January,Medicines,Miscellaneous,Pregnancy Test,15.00,120.00,1800.00
January,Laboratory,Clinical Chemistry,Blood Urea Nitrogen (BUN),6.00,291.00,1746.00
January,Laboratory,Clinical Chemistry,Potassium,5.00,337.60,1688.00
January,Medicines,Medicine,Isoxsuprine Hcl (Duvaprine),67.00,25.00,1675.00
January,Vaccines,BCG Vaccine,N/A,1.00,1500.00,1500.00
January,Vaccines,PPD Test,N/A,3.00,500.00,1500.00
January,Laboratory,Clinical Chemistry,SGOT,6.00,250.00,1500.00
January,Laboratory,Clinical Chemistry,SGPT,6.00,250.00,1500.00
January,Medicines,Medicine,Cefuroxime Axetil (Aerox),42.00,35.00,1470.00
January,Medicines,Medicine,Metformin,100.00,14.50,1450.00
January,Ultrasound,Obstetrics and Gynecology,Placental Localization,2.00,700.00,1400.00
January,Ultrasound,General Ultrasound,Kidneys Ureters and Bladder (KUB),1.00,1400.00,1400.00
January,Ultrasound,General Ultrasound,Thyroid Ultrasound,1.00,1400.00,1400.00
January,Ultrasound,General Ultrasound,Neck Ultrasound (Thyroid Submandibular and Lymph N,1.00,1360.00,1360.00
January,Laboratory,Miscellaneous,75 Gram OGTT,1.00,1200.00,1200.00
January,Ultrasound,General Ultrasound,Soft Tissue Ultrasound (ex. Axillary),1.00,1200.00,1200.00
January,Medicines,Family Planning,ALTHEA,2.00,600.00,1200.00
January,Laboratory,Miscellaneous,Wet Smear,2.00,600.00,1200.00
January,Laboratory,Clinical Chemistry,Uric Acid,4.00,300.00,1200.00
January,Laboratory,Clinical Chemistry,HbA1c,2.00,550.00,1100.00
January,Laboratory,Clinical Chemistry,Sodium,3.00,350.00,1050.00
January,Laboratory,Clinical Chemistry,Lipid Profile,1.00,1000.00,1000.00
January,Vaccines,Oral Polio Vaccine (OPV),N/A,1.00,1000.00,1000.00
January,Vaccines,Inactivated Polio Vaccine (IPV),N/A,1.00,1000.00,1000.00
January,Medicines,Medicine,Heragest,14.00,65.00,910.00
January,Pediatric Medicines,Cetirizine Drops Allerkid Drops,N/A,5.00,180.00,900.00
January,Pediatric Medicines,Nasatapp Drops,N/A,6.00,130.00,780.00
January,Laboratory,Miscellaneous,Prolactin,1.00,700.00,700.00
January,Laboratory,Clinical Chemistry,TSH,1.00,650.00,650.00
January,Laboratory,Miscellaneous,KOH,1.00,600.00,600.00
January,Laboratory,Clinical Microbiology,Gram Stain,1.00,600.00,600.00
January,Pediatric Medicines,Cetirizine Syrup Allerkid Syrup,N/A,2.00,300.00,600.00
January,Medicines,Miscellaneous,Feminine Wash (Femcare),3.00,200.00,600.00
January,Laboratory,Clinical Chemistry,Anti HCV,1.00,550.00,550.00
January,Medicines,Miscellaneous,Drysheet - Underpad,11.00,50.00,550.00
January,Ultrasound,Obstetrics and Gynecology,Follicle Monitoring,1.00,500.00,500.00
January,Laboratory,Hematology,APTT,1.00,500.00,500.00
January,Laboratory,Hematology,PROTIME (PT),1.00,500.00,500.00
January,Laboratory,Hematology,Peripheral Smear,1.00,500.00,500.00
January,Medicines,Medicine,Cefurox,14.00,35.00,490.00
January,Laboratory,Clinical Chemistry,Anti HBs,1.00,450.00,450.00
January,Laboratory,Clinical Chemistry,Anti HBc (IgM),1.00,450.00,450.00
January,Laboratory,Clinical Chemistry,Anti HBc (IgG),1.00,450.00,450.00
January,Medicines,Medicine,Momalac,30.00,15.00,450.00
January,Others,Catheter Removal Fee,N/A,1.00,300.00,300.00
January,Laboratory,Miscellaneous,Serum Preg Test,1.00,300.00,300.00
January,Services,Clinic Fee,N/A,2.00,141.67,283.33
January,Pediatric Medicines,Nasatapp Syrup,N/A,2.00,130.00,260.00
January,Laboratory,Clinical Microscopy,Fecalysis,1.00,250.00,250.00
January,Pediatric Medicines,Ceelin Drops 30ml,N/A,1.00,170.00,170.00
January,Pediatric Medicines,Zinc Sulfate (E-Zinc) 15ml,N/A,1.00,120.00,120.00
January,Medicines,Miscellaneous,Speculum,2.00,50.00,100.00
January,Medicines,Miscellaneous,"Micropore 1""",2.00,50.00,100.00
January,Pediatric Medicines,Hydrite,N/A,2.00,20.00,40.00
January,Medicines,Medicine,Methyldopa,2.00,20.00,40.00
January,Medicines,Miscellaneous,Wee bag,1.00,15.00,15.00
January,Medicines,Miscellaneous,Urine Container,1.00,10.00,10.00
February,Services,Obstetrics and Gynecology Consultation,N/A,626.00,599.05,375007.93
February,Services,Pediatrics Consultation,N/A,530.00,599.54,317757.47
February,Ultrasound,Obstetrics and Gynecology,Transvaginal,234.00,1195.43,279730.00
February,Vaccines,6 IN 1 Vaccine,N/A,22.00,4000.00,88000.00
February,Ultrasound,Obstetrics and Gynecology,Congenital Anomaly Scan,34.00,2500.00,85000.00
February,Vaccines,Rotarix Vaccine,N/A,26.00,3000.00,78000.00
February,Vaccines,PCV Vaccine,N/A,19.00,4000.00,76000.00
February,Ultrasound,Obstetrics and Gynecology,BPS + Biometry,58.00,1300.00,75400.00
February,Vaccines,Rotateq Vaccine,N/A,24.00,2500.00,60000.00
February,Ultrasound,Obstetrics and Gynecology,Pelvic,40.00,1200.00,48000.00
February,Laboratory,Medical Packages,Buntis Package B,17.00,2500.00,42500.00
February,Services,REI,N/A,47.00,793.91,37314.00
February,Vaccines,Meningococcal Vaccine,N/A,9.00,4000.00,36000.00
February,Medicines,Medicine,Calcium (Calsure Boncare),2391.00,12.00,28692.00
February,Medicines,Medicine,Gestron,429.00,65.00,27885.00
February,Laboratory,Medical Packages,Thyroid Function Test,15.00,1800.00,27000.00
February,Vaccines,Varicella Vaccine,N/A,7.00,3500.00,24500.00
February,Medical Certificate,Swab Test,N/A,19.00,1200.00,22800.00
February,Laboratory,Clinical Microbiology,Papsmear,46.00,449.53,20678.60
February,Vaccines,TD Vaccine,N/A,24.00,860.00,20640.00
February,Laboratory,Clinical Chemistry,75 Gram OGTT,17.00,1200.00,20400.00
February,Vaccines,Japanese Encephalitis Vaccine,N/A,5.00,4000.00,20000.00
February,Surgeon,Surgery Procedure (9500),N/A,2.00,9500.00,19000.00
February,Vaccines,MMR Vaccine,N/A,7.00,2500.00,17500.00
February,Medicines,Medicine,Multivitamins (Obtrene),1427.00,12.00,17124.00
February,Services,Urology Consultation,N/A,18.00,792.06,14257.00
February,Laboratory,Clinical Chemistry,HIV Screening,21.00,650.00,13650.00
February,Surgeon,Surgery Procedure (4500),N/A,3.00,4500.00,13500.00
February,Medicines,Family Planning,DMPA (Depotrust),27.00,500.00,13500.00
February,Medical Certificate,Medical Certificate,N/A,66.00,200.00,13200.00
February,Services,Cardiology Consultation,N/A,17.00,760.65,12931.04
February,Ultrasound,Obstetrics and Gynecology,5D ULTRASOUND,4.00,3000.00,12000.00
February,Ultrasound,General Ultrasound,Scrotal Ultrasound (with Doppler),7.00,1700.00,11900.00
February,Ultrasound,General Ultrasound,Whole Abdomen,7.00,1583.71,11085.96
February,Surgeon,Surgery Procedure (10500),N/A,1.00,10500.00,10500.00
February,Ultrasound,Obstetrics and Gynecology,TVS w Follicle Monitoring,6.00,1700.00,10200.00
February,Services,Surgery Consultation,N/A,20.00,504.65,10093.00
February,Vaccines,Tetanus Toxoid Vaccine,N/A,20.00,500.00,10000.00
February,Surgeon,Surgery Procedure (9000),N/A,1.00,9000.00,9000.00
February,Vaccines,Gardasil 4 Vaccine,N/A,2.00,4500.00,9000.00
February,Laboratory,Hematology,Complete Blood Count (CBC),22.00,400.00,8800.00
February,Laboratory,Medical Packages,Buntis Package A,5.00,1700.00,8500.00
February,Surgeon,Surgery Procedure (8500),N/A,1.00,8500.00,8500.00
February,Laboratory,Clinical Microscopy,Urinalysis,38.00,199.05,7564.00
February,Ultrasound,Obstetrics and Gynecology,3D-4D Ultrasound,3.00,2500.00,7500.00
February,Surgeon,Surgery Procedure (7500),N/A,1.00,7500.00,7500.00
February,Vaccines,Hepatitis A Vaccine,N/A,3.00,2500.00,7500.00
February,Medicines,Medicine,Ferrous + Folic Acid (Prenat),624.00,12.00,7488.00
February,Medicines,Medicine,Medroxyprogesterone (DB-10),93.00,80.00,7440.00
February,Services,Endocrinologist Consultation,N/A,9.00,800.00,7200.00
February,Ultrasound,Obstetrics and Gynecology,Biometry,6.00,1200.00,7200.00
February,Ultrasound,Obstetrics and Gynecology,Transrectal,6.00,1200.00,7200.00
February,Vaccines,Hepatitis B Immune Globulin Vaccine,N/A,2.00,3500.00,7000.00
February,Services,Ear Piercing,N/A,7.00,1000.00,7000.00
February,Ultrasound,General Ultrasound,Breast - Chest Ultrasound (Bilateral),4.00,1700.00,6800.00
February,Services,Intramuscular Injection,N/A,9.00,752.33,6771.00
February,Vaccines,MMRV Vaccine,N/A,1.00,6500.00,6500.00
February,Medicines,Medicine,Vitamin C + Zinc (Pearly-C),490.00,12.00,5880.00
February,Medicines,Medicine,Evening Primrose (Primdin),187.00,29.81,5575.00
February,Medicines,Family Planning,ALTHEA,8.00,600.00,4800.00
February,Medicines,Medicine,Dydrogesterone (Duphaston),54.00,85.00,4590.00
February,Laboratory,Clinical Chemistry,VDRL-RPR,10.00,450.00,4500.00
February,Services,Laser Circumcision,N/A,1.00,4500.00,4500.00
February,Medicines,Medicine,Ferrous Fumarate + B2+B12+ Folic Acid (Hematrene),372.00,12.00,4464.00
February,Medicines,Medicine,Folic Acid (Quatrofol),282.00,15.00,4230.00
February,Ultrasound,General Ultrasound,Kidneys Ureters and Bladder (KUB),3.00,1400.00,4200.00
February,Medicines,Medicine,Metindaz,28.00,130.00,3640.00
February,Laboratory,Clinical Chemistry,HBsAg Screening,8.00,450.00,3600.00
February,Laboratory,Hematology,ABO RH Typing,12.00,300.00,3600.00
February,Ultrasound,Obstetrics and Gynecology,Cervical Length,5.00,700.00,3500.00
February,Vaccines,PPD Test,N/A,7.00,500.00,3500.00
February,Laboratory,Clinical Chemistry,FBS,5.00,650.00,3250.00
February,Laboratory,Clinical Microbiology,Urine C-S,4.00,764.25,3057.00
February,Laboratory,Clinical Microbiology,Gram Stain,5.00,600.00,3000.00
February,Vaccines,Typhoid Vaccine,N/A,1.00,3000.00,3000.00
February,Surgeon,Surgery Procedure (2500),N/A,1.00,2500.00,2500.00
February,Services,Regular Circumcision,N/A,1.00,2500.00,2500.00
February,Others,Change of Dressing,N/A,2.00,1250.00,2500.00
February,Laboratory,Hematology,Platelet Count (PC),10.00,250.00,2500.00
February,Medicines,Medicine,Heragest,37.00,65.00,2405.00
February,Laboratory,Miscellaneous,KOH,4.00,600.00,2400.00
February,Services,Intrauterine Device Removal,N/A,1.00,2300.00,2300.00
February,Services,Intrauterine Device Insertion,N/A,1.00,2300.00,2300.00
February,Medicines,Medicine,Mupirocin Ointment (Mupiderm),9.00,250.00,2250.00
February,Vaccines,Inactivated Polio Vaccine (IPV),N/A,2.00,1000.00,2000.00
February,Medicines,Miscellaneous,Pregnancy Test,16.00,120.00,1920.00
February,Services,Implant Removal,N/A,1.00,1800.00,1800.00
February,Ultrasound,General Ultrasound,Whole Abdomen with Pre and Post Void,1.00,1800.00,1800.00
February,Medicines,Medicine,Momalac,120.00,15.00,1800.00
February,Medicines,Medicine,Cefuroxime Axetil (Aerox),57.00,30.33,1729.00
February,Medicines,Medicine,Mommalac,102.00,15.00,1530.00
February,Surgeon,Surgery Procedure (1500),N/A,1.00,1500.00,1500.00
February,Laboratory,Miscellaneous,NS1 Antigen,1.00,1400.00,1400.00
February,Medicines,Medicine,Trufit,56.00,23.93,1340.00
February,Medicines,Medicine,Methylergometrine (Ergojen),57.00,23.16,1320.00
February,Laboratory,Miscellaneous,Quantitative Beta-Hcg,1.00,1300.00,1300.00
February,Ultrasound,General Ultrasound,Soft Tissue Ultrasound (ex. Axillary),1.00,1200.00,1200.00
February,Laboratory,Miscellaneous,HbA1c,2.00,550.00,1100.00
February,Pediatric Medicines,Cetirizine (Allerkid Drops),N/A,6.00,180.00,1080.00
February,Laboratory,Medical Packages,Lipid Profile,1.00,1000.00,1000.00
February,Medicines,Medicine,Cefurox,28.00,35.00,980.00
February,Ultrasound,Obstetrics and Gynecology,Follicle Monitoring,2.00,455.50,911.00
February,Laboratory,Miscellaneous,Beta Hcg,1.00,900.00,900.00
February,Medicines,Medicine,Folic Acid (Folitrene),50.00,15.00,750.00
February,Ultrasound,Obstetrics and Gynecology,Placental Localization,1.00,700.00,700.00
February,Pediatric Medicines,Pro Biolyte (Banana),N/A,17.00,40.00,680.00
February,Medicines,Medicine,Isoxsuprene Hcl (Duvatrene),27.00,25.00,675.00
February,Laboratory,Clinical Chemistry,Creatinine,2.00,300.00,600.00
February,Laboratory,Miscellaneous,Wet Smear,1.00,600.00,600.00
February,Laboratory,Miscellaneous,Serum Preg Test,2.00,300.00,600.00
February,Laboratory,Hematology,APTT,1.00,500.00,500.00
February,Laboratory,Hematology,PROTIME (PT),1.00,500.00,500.00
February,Medicines,Medicine,Clomifene Citrate (Ova-mit),5.00,100.00,500.00
February,Laboratory,Clinical Chemistry,Anti HBs,1.00,450.00,450.00
February,Pediatric Medicines,Nasatapp Drops,N/A,3.00,143.33,430.00
February,Pediatric Medicines,Zinc Oxide and Calamine (Saphclamine),N/A,10.00,40.00,400.00
February,Medicines,Miscellaneous,Feminine Wash (Femcare),2.00,200.00,400.00
February,Medicines,Medicine,Multivitamins (Medcare OB),30.00,12.00,360.00
February,Pediatric Medicines,Zinc Sulfate (E-Zinc) 15ml,N/A,3.00,120.00,360.00
February,Medicines,Medicine,Calcium Carbonate + D3 (CalDTrene),29.00,12.00,348.00
February,Pediatric Medicines,Cetirizine (Allerkid Syrup),N/A,1.00,300.00,300.00
February,Medicines,Medicine,Isoxsuprine Hcl (Duvaprine),12.00,25.00,300.00
February,Laboratory,Clinical Microscopy,Fecalysis,1.00,250.00,250.00
February,Others,Administration Fee,N/A,1.00,250.00,250.00
February,Pediatric Medicines,Paracetamol Drops (Biogesic Drops),N/A,2.00,100.00,200.00
February,Medicines,Miscellaneous,Drysheet - Underpad,4.00,50.00,200.00
February,Medicines,Medicine,Ferrous + FA (Feofer),15.00,12.00,180.00
February,Pediatric Medicines,Ceelin Drops 30ml,N/A,1.00,170.00,170.00
February,Pediatric Medicines,Nasatapp Syrup,N/A,1.00,150.00,150.00
February,Medicines,Miscellaneous,Wee bag,4.00,15.00,60.00
February,Pediatric Medicines,Zinc Oxide and Calamine (Calmoseptine),N/A,1.00,50.00,50.00
February,Medicines,Miscellaneous,Urine Container,4.00,10.00,40.00
March,Services,Obstetrics and Gynecology Consultation,N/A,657.00,599.22,393686.00
March,Services,Pediatrics Consultation,N/A,611.00,599.28,366159.00
March,Ultrasound,Obstetrics and Gynecology,Transvaginal,207.00,1194.28,247216.00
March,Ultrasound,Obstetrics and Gynecology,Congenital Anomaly Scan,46.00,2500.00,115000.00
March,Ultrasound,Obstetrics and Gynecology,BPS + Biometry,62.00,1300.00,80600.00
March,Vaccines,6 IN 1 Vaccine,N/A,18.00,3972.22,71500.00
March,Vaccines,PCV Vaccine,N/A,15.00,4000.00,60000.00
March,Ultrasound,Obstetrics and Gynecology,Pelvic,45.00,1200.00,54000.00
March,Laboratory,Medical Packages,Buntis Package B,19.00,2500.00,47500.00
March,Services,REI,N/A,52.00,800.00,41600.00
March,Others,Non-Stress Test,N/A,40.00,1000.00,40000.00
March,Vaccines,Rotarix Vaccine,N/A,11.00,3000.00,33000.00
March,Ultrasound,General Ultrasound,Breast - Chest Ultrasound (Bilateral),19.00,1700.00,32300.00
March,Services,Endocrinologist Consultation,N/A,33.00,795.67,26257.00
March,Medicines,Medicine,Calcium Carbonate + D3 (Calcidin),2029.00,12.00,24348.00
March,Vaccines,Flu Vaccine,N/A,12.00,2000.00,24000.00
March,Medicines,Medicine,Gestron,366.00,65.00,23790.00
March,Laboratory,Medical Packages,Thyroid Function Test,13.00,1800.00,23400.00
March,Medicines,Medicine,Multivitamins (Mosvit Elite),1281.00,18.00,23058.00
March,Laboratory,Microbiology,Pap Smear,49.00,448.37,21970.00
March,Ultrasound,Obstetrics and Gynecology,Biometry,18.00,1200.00,21600.00
March,Services,Surgery Consultation,N/A,37.00,578.00,21386.00
March,Services,Urology Consultation,N/A,26.00,772.23,20078.00
March,Vaccines,Meningococcal Vaccine,N/A,5.00,4000.00,20000.00
March,Vaccines,MMR Vaccine,N/A,8.00,2500.00,20000.00
March,Ultrasound,Obstetrics and Gynecology,5D Ultrasound,6.00,3000.00,18000.00
March,Vaccines,Typhoid Vaccine,N/A,6.00,3000.00,18000.00
March,Ultrasound,Obstetrics and Gynecology,TVS w Follicle Monitoring,10.00,1700.00,17000.00
March,Medical Certificate,Swab Test,N/A,14.00,1200.00,16800.00
March,Vaccines,Hepatitis A Vaccine,N/A,6.00,2500.00,15000.00
March,Ultrasound,General Ultrasound,Whole Abdomen,9.00,1628.44,14656.00
March,Ultrasound,General Ultrasound,Scrotal Ultrasound (with Doppler),8.00,1700.00,13600.00
March,Vaccines,Tetanus Toxoid Vaccine,N/A,27.00,500.00,13500.00
March,Services,Surgery Procedure (4500),N/A,3.00,4500.00,13500.00
March,Vaccines,TD Vaccine,N/A,15.00,860.00,12900.00
March,Ultrasound,Obstetrics and Gynecology,3D-4D Ultrasound,5.00,2500.00,12500.00
March,Vaccines,Varicella Vaccine,N/A,3.00,3500.00,10500.00
March,Medicines,Medicine,Sodermix,4.00,2500.00,10000.00
March,Medicines,Family Planning,DMPA (Depotrust),20.00,500.00,10000.00
March,Laboratory,Clinical Chemistry,HIV Screening,15.00,650.00,9750.00
March,Vaccines,Gardasil 4 Vaccine,N/A,2.00,4500.00,9000.00
March,Services,Surgery Procedure (3500),N/A,3.00,3000.00,9000.00
March,Medical Certificate,Medical Certificate,N/A,45.00,200.00,9000.00
March,Medicines,Medicine,Medroxyprogesterone (DB-10),110.00,80.00,8800.00
March,Ultrasound,Obstetrics and Gynecology,Transrectal,7.00,1200.00,8400.00
March,Medicines,Medicine,Folic Acid (Quatrofol),559.00,15.00,8385.00
March,Vaccines,Japanese Encephalitis Vaccine,N/A,2.00,4000.00,8000.00
March,Services,Implant Insertion,N/A,2.00,4000.00,8000.00
March,Laboratory,Hematology,Complete Blood Count (CBC),20.00,400.00,8000.00
March,Medicines,Family Planning,FAYE,13.00,600.00,7800.00
March,Medicines,Medicine,Ferrous Fumarate + B2+B12+ Folic Acid (Hematrene),612.00,12.00,7344.00
March,Laboratory,Clinical Chemistry,75 Gram OGTT,6.00,1200.00,7200.00
March,Services,Ear Piercing,N/A,7.00,1000.00,7000.00
March,Ultrasound,Obstetrics and Gynecology,BPS with Doppler,3.00,2300.00,6900.00
March,Vaccines,MMRV Vaccine,N/A,1.00,6500.00,6500.00
March,Medicines,Medicine,Evening Primrose (Primdin),182.00,35.00,6370.00
March,Medicines,Medicine,Mupirocin Ointment (Mupiderm),25.00,250.00,6250.00
March,Ultrasound,General Ultrasound,Kidneys Ureters and Bladder (KUB),4.00,1400.00,5600.00
March,Medicines,Medicine,Calcium (Calsure Boncare),461.00,12.00,5532.00
March,Services,Surgery Procedure (6500),N/A,1.00,5500.00,5500.00
March,Medicines,Medicine,Ferrous + Folic Acid (Prenat),449.00,12.00,5388.00
March,Services,Surgery Procedure (2500),N/A,2.00,2500.00,5000.00
March,Laboratory,Clinical Microscopy,Urinalysis,24.00,200.00,4800.00
March,Medicines,Medicine,Clindamycin (Vagilin),28.00,170.00,4760.00
March,Ultrasound,Obstetrics and Gynecology,BPS - DOPPLER VELOCIMETRY,2.00,2300.00,4600.00
March,Services,Laser Circumcision,N/A,1.00,4500.00,4500.00
March,Medicines,Medicine,Clindamycin Phosphate (Vagclr-M),18.00,250.00,4500.00
March,Medicines,Medicine,Vitamin C + Zinc (Pearly-C),353.00,12.00,4236.00
March,Vaccines,"PCV ""Pneumoccoccal"" Vaccine",N/A,1.00,4000.00,4000.00
March,Vaccines,Inactivated Polio Vaccine (IPV),N/A,4.00,1000.00,4000.00
March,Services,Cardiology Consultation,N/A,5.00,771.40,3857.00
March,Ultrasound,General Ultrasound,Inguinoscrotal Ultrasound (with doppler),2.00,1900.00,3800.00
March,Medicines,Medicine,Metindaz,28.00,130.00,3640.00
March,Laboratory,Medical Packages,Buntis Package A,2.00,1700.00,3400.00
March,Laboratory,Hematology,ABO RH Typing,11.00,300.00,3300.00
March,Laboratory,Clinical Chemistry,VDRL-RPR,7.00,450.00,3150.00
March,Laboratory,Clinical Chemistry,FBS,5.00,626.80,3134.00
